2026-07-10 14:56:42 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:43 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:43 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:43 DEBUG   [BROKER] Routed message on topic 'alerts' from 'robot_console' to 2 subscribers
2026-07-10 14:56:44 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:44 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:45 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:45 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:46 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:46 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:47 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:47 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:48 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:48 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:49 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:49 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:50 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:50 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:51 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:51 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:52 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:52 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:53 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:53 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:54 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:54 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:55 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:55 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:56 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:57 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:57 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:58 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:58 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:59 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:59 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:00 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:00 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:01 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:01 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:02 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:02 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:03 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:03 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:04 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:04 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:05 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:05 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:57:06 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:57:06 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
